company,date,naf,num_emp
Engie Ineo,23-11-2001,Activités des sièges sociaux (7010Z),250 à 499 salariés
EASYMILE,30-06-2014,Programmation informatique (6201Z),20 à 49 salariés
PLANET CARDS.COM,24-09-2003,Autre imprimerie (labeur) (1812Z),50 à 99 salariés
AXILEO,19-12-2011,"Ingénierie, études techniques (7112B)",50 à 99 salariés
O2 Care Services,22-01-2019,Nettoyage courant des bâtiments (8121Z),
Leroy Merlin,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Lacadee,,Administration publique générale (8411Z),1 à 2 salariés
LABORATOIRES JUVA SANTE,24-01-1961,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté (4645Z),250 à 499 salariés
AIR H,31-07-2013,Travaux d'installation d'équipements thermiques et de climatisation (4322B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
UNIVERSITE PAUL SABATIER TOULOUSE III,,Enseignement supérieur (8542Z),5000 à 9999 salariés
Imerys,07-05-1982,Fabrication d'autres produits chimiques n.c.a. (2059Z),20 à 49 salariés
Pierre Fabre,,Activités de clubs de sports (9312Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ISAE Supaero,,Autres activités liées au sport (9319Z),
UPSA SAS,01-07-2014,Fabrication de préparations pharmaceutiques (2120Z),1000 à 1999 salariés
Geotec,09-09-2016,Télécommunications filaires (6110Z),1 à 2 salariés
InvivoGen,22-11-1977,Recherche-développement en biotechnologie (7211Z),50 à 99 salariés
Total,18-04-2016,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (4671Z),
SCP Science,13-02-1991,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services (4669C),6 à 9 salariés
Silkhom,18-11-2013,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Bureau Veritas,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
DEKRA,11-09-1992,Contrôle technique automobile (7120A),1 à 2 salariés
Grand Frais,,Activités de clubs de sports (9312Z),
TERRADONA,26-08-2013,"Ingénierie, études techniques (7112B)",6 à 9 salariés
Danone,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ACCES INDUS,,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
STRATEGIA,20-07-2018,Conseil pour les affaires et autres conseils de gestion (7022Z),
