company_name,distance,jobs,location,num_employees,rating,rome_code
AKKA SERVICES,98.1,Adjointe RH,BLAGNAC,50,3.3,M1501
SOCIETE DES PRODUCTIONS MITJAVILA,53.6,Adjointe RH,SOULOM,20,3.8,M1501
PYRENEES PREFA,62,Opérateur cariste,ARTIX,20,3.4,N1101
CSF,95.8,Adjointe RH,TOULOUSE,100,3,M1501
MANPOWER,91.7,Adjointe RH,MURET,3,4.6,M1501
ETABLISSEMENTS BAREYRE,94.8,Opérateur cariste,LE,10,4.5,N1101
DAHER AEROSPACE,28.7,Opérateur process poudrage,LOUEY,0,3.3,H3404
THYSSENKRUPP ASCENSEURS,98.3,Technicien/ne de maintenance,TOULOUSE,20,2.8,I1304
RANDSTAD,93.5,Adjointe RH,BOE,3,3.3,M1501
BUFFALO GRILL,22.1,Professionnel de restauration,TARBES,10,4.6,G1803
MONT DE MARSAN AGGLO,78.8,TECHNICIEN SERVICES GENERAUX,MONT,500,3.9,I1203
COMMUNAUTE DE COMMUNES DU PAYS DE TARUSA,95,TECHNICIEN SERVICES GENERAUX,TARTAS,50,3.4,I1203
YMCA SERVICES,95.7,Adjointe RH,COLOMIERS,0,3,M1501
SIMAIR,95.3,Opérateur process poudrage,COLOMIERS,50,2.5,H3404
UTC AEROSPACE SYSTEMS,95.7,Opérateur process poudrage,GOODRICH,200,2.7,H3404
,,,,,,
START PEOPLE,48.2,Adjointe RH,PAU,6,3,M1501
LE REFUGE CAMPING INTERNATIONAL D'ARREAU,55.2,TECHNICIEN SERVICES GENERAUX,ARREAU,1,2.7,I1203
CAPGEMINI TECHNOLOGY SERVICES,97.4,Adjointe RH,TOULOUSE,1000,4.5,M1501
LE MONTAGNARD,74.1,Professionnel de restauration,BAGNERES,0,4.4,G1803
MACIF,96.3,Adjointe RH,AGEN,100,3.4,M1501
ORCOM CABINET GOUL,99.4,Adjointe RH,FOULAYRONNES,0,3.1,M1501
,,,,,,
,,,,,,
MANATOUR,97.5,Adjointe RH,BLAGNAC,6,3.3,M1501
TRANSPORTS ROUTIERS DE L'ARIZE,85.2,Opérateur cariste,NOE,0,2.8,N1101
CRIT INTERIM,91.1,Adjointe RH,MURET,3,4,M1501
SOC POTEZ AERONAUTIQUE,50.9,Opérateur process poudrage,AIRE,0,3,H3404
OXYGENE INTERIM,99.5,Adjointe RH,GRISOLLES,1,3.5,M1501
ONET PROPRETE MULTISERVICES,99.9,Adjointe RH,PONT,250,3,M1501
SOPRA STERIA I2S EOLIS 2,95.5,Adjointe RH,COLOMIERS,250,2.8,M1501
KFC,97.9,Adjointe RH,PORTET,20,3,M1501
BETOTRANS,91.3,Opérateur cariste,COLOMIERS,0,2.8,N1101
RANDSTAD,50,Adjointe RH,BILLERE,0,3.3,M1501
,,,,,,
SYNERGIE,94,Adjointe RH,AGEN,0,2.8,M1501
PROMAN,20.9,Adjointe RH,TARBES,1,2.8,M1501
THERMI,92.8,Opérateur process poudrage,GARONNE,10,3.6,H3404
CCAS,70.2,TECHNICIEN SERVICES GENERAUX,HAGETMAU,100,3.6,I1203
CILIOHPAJ AVENIR ET JOIE,97.3,Adjointe RH,AGEN,6,2.8,M1501
VARTAN FRANCE,93.5,Opérateur process poudrage,CUGNAUX,0,2.8,H3404
,,,,,,
MANPOWER,53,Adjointe RH,SAINT,3,4.4,M1501
PLANETEPROFS,47.4,Adjointe RH,PAU,0,3,M1501
RANDSTAD,44.7,Adjointe RH,AUCH,3,4,M1501
VALGO,99,Adjointe RH,PORTET,20,3.3,M1501
,,,,,,
ISA INTERIM,41.4,Adjointe RH,AUCH,0,3.8,M1501
LANNEPOUDENX,61.4,Opérateur cariste,BORDERES,0,3.4,N1101
DERICHEBOURG ATIS AERONAUTIQUE,98,Technicien Preparateur Process,BLAGNAC,0,4.5,H1404
EOVAL,78.6,Opérateur cariste,LAFITTE,10,4.2,N1101
SARL LARCEBAU,44,Technicien Preparateur Process,IGON,20,2.8,H1404
ALSENAM,44.9,Opérateur process poudrage,NARCASTET,0,2.5,H3404
,,,,,,
CAMPING LE MOULIN,69.7,TECHNICIEN SERVICES GENERAUX,MARTRES,3,2.7,I1203
VAP TOULOUSE,98,Professionnel de restauration,BLAGNAC,0,4.4,G1803
CHEF EMG,58.1,Professionnel de restauration,EUGENIE,0,4.6,G1803
SEGNERE,36.6,Technicien Preparateur Process,LOURDES,0,3.4,H1404
,,,,,,
AJNET ENTREPRISE DE PROPRETE,96.4,Adjointe RH,PORTET,100,3,M1501
HOTEL RESTAURANT DE BASTARD,68.7,Responsable restaurant,LECTOURE,10,2.5,G1802
COMPASS GROUP FRANCE C484,98.2,Responsable restaurant,BLAGNAC,0,4.4,G1802
LE RELAIS,48.1,Responsable restaurant,LONS,10,2.7,G1802
ASSYSTEM FRANCE,96.4,Technicien Preparateur Process,TOULOUSE,1000,3.6,H1404
CENTRE HOSPITALIER DES DEUX RIVES,96.4,Adjointe RH,VALENCE,100,3.4,M1501
DDAO,98.5,Opérateur cariste,BLAGNAC,50,3.3,N1101
AIRBUS,98.4,Adjointe RH,BLAGNAC,0,3,M1501
MONT DE MARSAN AGGLO,78.8,Adjointe RH,MONT,500,3,M1501
GIT,95.7,Opérateur process poudrage,CUGNAUX,50,4.5,H3404
SAMSIC II,98.2,Adjointe RH,BLAGNAC,100,2.7,M1501
AUDIT AQUITAINE EXPERTISES,79.3,Adjointe RH,ORTHEZ,10,2.8,M1501
EXCO FIDUCIAIRE DU SUD OUEST,20.8,Adjointe RH,TARBES,50,2.8,M1501
CAPIO CLINIQUE DES CEDRES,96.7,Adjointe RH,CORNEBARRIEU,500,2.7,M1501
BERGER GESTION,47.8,Adjointe RH,PAU,0,2.8,M1501
CABINET COMPTABLE BERGUIO,95.6,Adjointe RH,TOURNEFEUILLE,1,2.8,M1501
,,,,,,
BODYCOTE,47.4,Opérateur process poudrage,SERRES,50,3.1,H3404
MAIRIE,97.6,Adjointe RH,PORTET,100,2.7,M1501
BUFO,95.6,TECHNICIEN SERVICES GENERAUX,AGEN,10,2.5,I1203
CENTRE HOSPITALIER DE MURET,89.5,Adjointe RH,MURET,20,2.7,M1501
,,,,,,
DIMECA,99,Technicien Preparateur Process,PORTET,10,2.8,H1404
DELEGATION DEPART HAUTE GARONNE,97.5,TECHNICIEN SERVICES GENERAUX,TOULOUSE,6,2.5,I1203
,,,,,,
CAMPING LA BOURIE,42.9,TECHNICIEN SERVICES GENERAUX,HECHES,1,2.8,I1203
TOULOUSE METROPOLE HABITAT,99.6,Adjointe RH,TOULOUSE,50,2.7,M1501
